Restaurants_Name,photos_count,stars,review_count,distance_km,address,hours,attributes,categories,euros,main_category
Stadtklause,265.0,4.5,172.0,2.4412250573278063,Bernburger Str. 3510963 Berlin,"{'Monday': '4:00 PM - 12:00 AM (Next day)', 'Tuesday': '4:00 PM - 12:00 AM (Next day)', 'Wednesday': '4:00 PM - 12:00 AM (Next day)', 'Thursday': '4:00 PM - 12:00 AM (Next day)', 'Friday': '4:00 PM - 12:00 AM (Next day)', 'Saturday': '4:00 PM - 12:00 AM (Next day)', 'Sunday': '4:00 PM - 12:00 AM (Next day)'}","No Reservations,No Delivery,No Takeout,Many Vegetarian Options",German,"[<span class=""hovercard-trigger__373c0__2PQPP""><div class=""border-color--default__373c0__2oFDT nowrap__373c0__1_N1j""><span class=""claim-text--light__373c0__1ip1u css-1xxismk""><a class=""css-166la90"" href=""https://biz.yelp.com/signup/8uBE9ZgfZOM2z_Rllw478Q/account?utm_campaign=claim_business&amp;utm_medium=www&amp;utm_source=biz_page_unclaimed&amp;utm_content=claim_status_link_react&amp;hl=en_GB"" name="""" rel="""" target=""_blank"">Unclaimed</a> <span aria-hidden=""true"" class=""icon--16-exclamation-v2 css-13zy15n""><svg class=""icon_svg"" height=""16"" width=""16""><path d=""M8 1a7 7 0 110 14A7 7 0 018 1zm0 2a5 5 0 100 10A5 5 0 008 3zm0 6.854a1 1 0 011 1.006 1 1 0 01-1 1v-.01a1 1 0 01-.92-.61A1 1 0 018 9.854zM8 4.14a1 1 0 011 1v3a1 1 0 11-2 0v-3a1 1 0 011-1z""></path></svg></span></span></div></span>, <span class=""css-1xxismk"">€<!-- --> </span>, <span class=""css-bq71j2""><a class=""css-166la90"" href=""/c/berlin/german"" name="""" rel="""" target="""">German</a></span>]",Restaurant
LorenzAdlonEsszimmer,140.0,5.0,67.0,1.589181482543605,Unter den Linden 7710117 Berlin,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '7:00 PM - 12:00 AM (Next day)', 'Thursday': '7:00 PM - 12:00 AM (Next day)', 'Friday': '7:00 PM - 12:00 AM (Next day)', 'Saturday': '7:00 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Modern European,"[<span class=""hovercard-trigger__373c0__2PQPP""><div class=""border-color--default__373c0__2oFDT nowrap__373c0__1_N1j""><span class=""claim-text--light__373c0__1ip1u css-df2qti""><span aria-hidden=""true"" class=""icon--16-claim-filled-v2 css-1jnn9ss""><svg class=""icon_svg"" height=""16"" width=""16""><path clip-rule=""evenodd"" d=""M1 8a7 7 0 1114 0A7 7 0 011 8zm7 2.51l3.58-3.6a1 1 0 10-1.41-1.42l-2.89 2.9-.94-.94a1 1 0 10-1.42 1.41l1.67 1.65a1 1 0 001.41 0z"" fill-rule=""evenodd""></path></svg></span> <!-- -->Claimed</span></div></span>, <span class=""css-1xxismk"">€€€€<!-- --> </span>, <span class=""css-bq71j2""><a class=""css-166la90"" href=""/c/berlin/modern_european"" name="""" rel="""" target="""">Modern European</a></span>]",Restaurant
MomotaroTavern,123.0,4.5,58.0,,Panoramastr. 1 A10178 Berlin,"{'Monday': '12:00 PM - 10:00 PM', 'Tuesday': '12:00 PM - 10:00 PM', 'Wednesday': '12:00 PM - 10:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Burgers,Asian Fusion",€€,Restaurant
FACTORYGIRL,619.0,4.0,262.0,,Auguststr. 29 C10119 Berlin,"{'Monday': '10:00 AM - 3:00 PM', 'Tuesday': '10:00 AM - 3:00 PM', 'Wednesday': '10:00 AM - 3:00 PM', 'Thursday': '10:00 AM - 3:00 PM', 'Friday': '10:00 AM - 3:00 PM', 'Saturday': '10:00 AM - 3:00 PM', 'Sunday': '10:00 AM - 3:00 PM'}","Offers Takeout,No Reservations,No Delivery,Accepts Debit Cards","Breakfast & Brunch,Cafes,Desserts",€€,Restaurant
Muse,126.0,4.5,60.0,3.8026001017607554,Immanuelkirchstr. 3110405 Berlin,"{'Monday': '12:00 PM - 10:30 PM', 'Tuesday': '12:00 PM - 10:30 PM', 'Wednesday': '12:00 PM - 10:30 PM', 'Thursday': '12:00 PM - 10:30 PM', 'Friday': '12:00 PM - 10:30 PM', 'Saturday': '10:30 AM - 10:30 PM', 'Sunday': '10:30 AM - 4:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","International,Sandwiches,Burgers",€€,Restaurant
CocoloRamen,287.0,4.0,293.0,2.2942916323085596,Gipsstr. 310119 Berlin,"{'Monday': '6:00 PM - 12:00 AM (Next day)', 'Tuesday': '6:00 PM - 12:00 AM (Next day)', 'Wednesday': '6:00 PM - 12:00 AM (Next day)', 'Thursday': '6:00 PM - 12:00 AM (Next day)', 'Friday': '6:00 PM - 12:00 AM (Next day)', 'Saturday': '6:00 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","No Reservations,No Delivery,No Takeout,Outdoor Seating",Ramen,"[<span class=""hovercard-trigger__373c0__2PQPP""><div class=""border-color--default__373c0__2oFDT nowrap__373c0__1_N1j""><span class=""claim-text--light__373c0__1ip1u css-df2qti""><span aria-hidden=""true"" class=""icon--16-claim-filled-v2 css-1jnn9ss""><svg class=""icon_svg"" height=""16"" width=""16""><path clip-rule=""evenodd"" d=""M1 8a7 7 0 1114 0A7 7 0 011 8zm7 2.51l3.58-3.6a1 1 0 10-1.41-1.42l-2.89 2.9-.94-.94a1 1 0 10-1.42 1.41l1.67 1.65a1 1 0 001.41 0z"" fill-rule=""evenodd""></path></svg></span> <!-- -->Claimed</span></div></span>, <span class=""css-1xxismk"">€€<!-- --> </span>, <span class=""css-bq71j2""><a class=""css-166la90"" href=""/c/berlin/ramen"" name="""" rel="""" target="""">Ramen</a></span>]",Restaurant
CanaRestaurant,50.0,4.5,49.0,3.182907423033113,Neue Roßstr. 11 - 1210179 Berlin,"{'Monday': '11:30 AM - 11:30 PM', 'Tuesday': '11:30 AM - 11:30 PM', 'Wednesday': '11:30 AM - 11:30 PM', 'Thursday': '11:30 AM - 11:30 PM', 'Friday': '11:30 AM - 11:30 PM', 'Saturday': '11:30 AM - 11:30 PM', 'Sunday': '11:30 AM - 11:30 PM'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Arabian,"[<span class=""hovercard-trigger__373c0__2PQPP""><div class=""border-color--default__373c0__2oFDT nowrap__373c0__1_N1j""><span class=""claim-text--light__373c0__1ip1u css-1xxismk""><a class=""css-166la90"" href=""https://biz.yelp.com/signup/zoV7ywdHBys01E2ndtzZ3Q/account?utm_campaign=claim_business&amp;utm_medium=www&amp;utm_source=biz_page_unclaimed&amp;utm_content=claim_status_link_react&amp;hl=en_GB"" name="""" rel="""" target=""_blank"">Unclaimed</a> <span aria-hidden=""true"" class=""icon--16-exclamation-v2 css-13zy15n""><svg class=""icon_svg"" height=""16"" width=""16""><path d=""M8 1a7 7 0 110 14A7 7 0 018 1zm0 2a5 5 0 100 10A5 5 0 008 3zm0 6.854a1 1 0 011 1.006 1 1 0 01-1 1v-.01a1 1 0 01-.92-.61A1 1 0 018 9.854zM8 4.14a1 1 0 011 1v3a1 1 0 11-2 0v-3a1 1 0 011-1z""></path></svg></span></span></div></span>, <span class=""css-1xxismk"">€€<!-- --> </span>, <span class=""css-bq71j2""><a class=""css-166la90"" href=""/c/berlin/arabian"" name="""" rel="""" target="""">Arabian</a></span>]",Restaurant
CafBondi,105.0,4.5,109.0,1.3439347451719101,Eichendorffstr. 610115 Berlin,"{'Monday': '8:00 AM - 6:00 PM', 'Tuesday': '8:00 AM - 6:00 PM', 'Wednesday': '8:00 AM - 6:00 PM', 'Thursday': '8:00 AM - 6:00 PM', 'Friday': '8:00 AM - 6:00 PM', 'Saturday': '9:00 AM - 6:00 PM', 'Sunday': '9:00 AM - 6:00 PM'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options","Breakfast & Brunch,Cafes",Unclaimed,Restaurant
Burgermeister,406.0,4.0,714.0,5.814885592265532,Oberbaumstr. 810997 Berlin,"{'Monday': '11:00 AM - 3:00 AM (Next day)', 'Tuesday': '11:00 AM - 3:00 AM (Next day)', 'Wednesday': '11:00 AM - 3:00 AM (Next day)', 'Thursday': '11:00 AM - 3:00 AM (Next day)', 'Friday': '11:00 AM - 4:00 AM (Next day)', 'Saturday': '12:00 PM - 4:00 AM (Next day)', 'Sunday': '12:00 PM - 3:00 AM (Next day)'}","Offers Takeout,No Reservations,No Delivery,Outdoor Seating","Takeaway & Fast Food,Burgers",€,Restaurant
AignerGendarmenmarkt,,4.0,120.0,1.8462658582542217,Französischestr. 2510117 Berlin,"{'Monday': '12:00 PM - 2:00 AM (Next day)', 'Tuesday': '12:00 PM - 2:00 AM (Next day)', 'Wednesday': '12:00 PM - 2:00 AM (Next day)', 'Thursday': '12:00 PM - 2:00 AM (Next day)', 'Friday': '12:00 PM - 2:00 AM (Next day)', 'Saturday': '12:00 PM - 2:00 AM (Next day)', 'Sunday': '12:00 PM - 2:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","German,Austrian",€€€,Restaurant
